time,weight,height,bmi,fatRate,bodyWaterRate,boneMass,metabolism,muscleRate,visceralFat
1628163123,65.8,175.0,21.4,16.138414,57.52905,2.8073273,1534.0,52.3736,6.0,566
1628245481,65.8,175.0,21.4,16.076408,57.571583,2.8094318,1534.0,52.412292,6.0,560
1628507497,66.0,175.0,21.5,15.955568,57.65448,2.822203,1537.0,52.64712,6.0,533
1628592661,66.4,175.0,21.6,16.320295,57.404278,2.8270514,1543.0,52.736275,6.0,538
1628679323,66.0,175.0,21.5,16.26466,57.442444,2.8116806,1537.0,52.453644,6.0,563
1628765891,65.85,175.0,21.5,15.919627,57.679134,2.816921,1535.0,52.550003,6.0,541
1628846793,66.2,175.0,21.6,16.1128,57.54662,2.8255038,1540.0,52.70782,6.0,533
1628939981,65.7,175.0,21.4,15.976672,57.640003,2.8084824,1533.0,52.39484,6.0,558
1629029027,65.1,175.0,21.2,15.37185,58.054913,2.802788,1524.0,52.29014,5.0,546
1629110411,65.3,175.0,21.3,15.439321,58.008625,2.809246,1527.0,52.40888,6.0,537
1629196343,65.7,175.0,21.4,15.790371,57.767807,2.814796,1533.0,52.51093,6.0,540
1629282587,65.95,175.0,21.5,15.947041,57.66033,2.8203254,1536.0,52.6126,6.0,536
1629369525,66.05,175.0,21.5,16.149397,57.521515,2.817767,1538.0,52.56556,6.0,548
1629456593,65.85,175.0,21.5,15.919627,57.679134,2.816921,1535.0,52.550003,6.0,541
1629715029,66.2,175.0,21.6,16.17443,57.50434,2.8233995,1540.0,52.669125,6.0,539
1629801285,65.65,175.0,21.4,15.874906,57.709816,2.8097618,1532.0,52.418365,6.0,552
1629888076,66.0,175.0,21.5,16.13072,57.534325,2.8162403,1537.0,52.537483,6.0,550
1629979486,65.85,175.0,21.5,16.29138,57.424114,2.8042943,1535.0,52.31783,6.0,577
1630060278,66.05,175.0,21.5,16.334711,57.39439,2.8114536,1538.0,52.44947,6.0,566
1630318862,65.45,175.0,21.3,15.98575,57.633774,2.7973413,1529.0,52.189983,6.0,578
1630405705,65.3,175.0,21.3,15.814206,57.751453,2.7966192,1527.0,52.17671,6.0,573
1630493771,65.5,175.0,21.3,15.994313,57.627903,2.799219,1530.0,52.224506,6.0,575
1630579264,66.2,175.0,21.6,16.297693,57.41978,2.8191905,1540.0,52.591732,6.0,551
1630665034,65.7,175.0,21.4,15.75932,57.789104,2.815848,1533.0,52.530277,6.0,537
1630924466,66.85,175.0,21.8,16.658,57.17261,2.8348296,1550.0,52.879295,6.0,537
1631012422,66.6,175.0,21.7,16.516327,57.2698,2.8289495,1546.0,52.771175,6.0,542
1631096952,65.8,175.0,21.4,15.993733,57.6283,2.8122377,1534.0,52.46389,6.0,552
1631184024,66.05,175.0,21.5,16.345007,57.387325,2.8111029,1538.0,52.443024,6.0,567
1631270957,66.05,175.0,21.5,16.29353,57.422638,2.8128567,1538.0,52.47527,6.0,562
1631358443,66.3,175.0,21.6,16.703886,57.141132,2.8096173,1542.0,52.41571,6.0,583
1631446009,65.7,175.0,21.4,16.049122,57.5903,2.8060274,1533.0,52.349697,6.0,565
1631530461,66.45,175.0,21.6,16.43081,57.328465,2.8254213,1544.0,52.706303,6.0,545
1631615552,66.65,175.0,21.7,16.463129,57.306293,2.8329315,1547.0,52.844395,6.0,533
1631702027,66.35,175.0,21.6,16.394083,57.35366,2.822368,1542.0,52.650158,6.0,549
1631790897,65.95,175.0,21.5,15.957352,57.653255,2.8199744,1536.0,52.606148,6.0,537
1631874692,66.05,175.0,21.5,16.303825,57.415577,2.812506,1538.0,52.46882,6.0,563
1632077540,86.1,183.0,25.7,null,null,null,null,null,null,null
1632220284,66.05,175.0,21.5,16.159693,57.51445,2.8174162,1538.0,52.55911,6.0,549
1632307467,66.5,175.0,21.7,16.520714,57.26679,2.824493,1545.0,52.68923,6.0,550
1632396566,65.8,175.0,21.4,16.097076,57.557404,2.8087301,1534.0,52.399395,6.0,562
1632479456,65.65,175.0,21.4,15.957769,57.65297,2.8069558,1532.0,52.366768,6.0,560
1632738656,65.1,175.0,21.2,15.476304,57.983253,2.7992806,1524.0,52.225643,5.0,556
1632825185,66.05,175.0,21.5,16.087626,57.56389,2.8198714,1538.0,52.604256,6.0,542
1632913127,66.3,175.0,21.6,16.426964,57.331104,2.8190875,1542.0,52.58984,6.0,556
1632999067,66.05,175.0,21.5,16.3553,57.380264,2.8107522,1538.0,52.436573,6.0,568
1633089295,66.5,175.0,21.7,16.32643,57.40007,2.8311572,1545.0,52.811768,6.0,531
1633344537,66.35,175.0,21.6,16.599056,57.213047,2.815353,1542.0,52.52117,6.0,569
1633430758,66.35,175.0,21.6,16.465824,57.304443,2.8199127,1542.0,52.60501,6.0,556
1633516182,66.25,175.0,21.6,16.429094,57.32964,2.8168592,1541.0,52.548866,6.0,560
1633603263,65.95,175.0,21.5,16.18419,57.497646,2.8122582,1536.0,52.464268,6.0,559
1633689473,65.75,175.0,21.4,16.150684,57.52063,2.804748,1534.0,52.326176,6.0,571
1633778258,65.75,175.0,21.4,16.067947,57.57739,2.807554,1534.0,52.37777,6.0,563
1633792940,64.25,175.0,20.9,null,null,null,null,null,null,null
1633865746,64.95,175.0,21.2,15.595802,57.90128,2.7887378,1522.0,52.031788,5.0,579
1633948108,65.05,175.0,21.2,15.498657,57.967922,2.796351,1523.0,52.171776,5.0,562
1634047227,85.55,183.0,25.5,null,null,null,null,null,null,null
1634122041,66.2,175.0,21.6,15.784099,57.77211,2.8367276,1540.0,52.914196,6.0,501
1634207180,66.1,175.0,21.5,15.900566,57.69221,2.828413,1539.0,52.76131,6.0,520
1634293909,65.4,175.0,21.3,15.696446,57.832237,2.8049338,1528.0,52.32959,6.0,554
1634466468,65.75,175.0,21.4,16.078289,57.570293,2.8072033,1534.0,52.371323,6.0,564
1634553090,65.75,175.0,21.4,15.985209,57.634148,2.8103602,1534.0,52.429363,6.0,555
1634641379,66.3,175.0,21.6,16.15004,57.521072,2.8285575,1542.0,52.76397,6.0,529
1634726558,66.05,175.0,21.5,16.211168,57.479137,2.8156626,1538.0,52.526863,6.0,554
1634814260,65.8,175.0,21.4,16.076408,57.571583,2.8094318,1534.0,52.412292,6.0,560
1634814283,65.8,175.0,21.4,16.076408,57.571583,2.8094318,1534.0,52.412292,6.0,560
1634900397,65.35,175.0,21.3,15.802103,57.759758,2.7991982,1528.0,52.224125,6.0,568
1635160149,65.35,175.0,21.3,15.843725,57.731205,2.797795,1528.0,52.19833,6.0,572
1635160154,65.45,175.0,21.3,null,null,null,null,null,null,null
1635247760,65.5,175.0,21.3,15.682862,57.841557,2.809741,1530.0,52.417984,6.0,545
1635332169,65.3,175.0,21.3,15.428907,58.01577,2.8095968,1527.0,52.41533,6.0,536
1635352542,66.85,175.0,21.8,null,null,null,null,null,null,null
1635417557,65.85,175.0,21.5,16.043545,57.594128,2.8127122,1535.0,52.472614,6.0,553
1635504016,66.2,175.0,21.6,16.16416,57.511387,2.8237503,1540.0,52.675575,6.0,538
1635584695,64.7,175.0,21.1,15.0780115,58.256485,2.7951336,1518.0,52.14939,5.0,549
1635675705,65.7,175.0,21.4,15.790371,57.767807,2.814796,1533.0,52.51093,6.0,540
1635675729,65.7,175.0,21.4,15.790371,57.767807,2.814796,1533.0,52.51093,6.0,540
1635764269,64.95,175.0,21.2,15.37594,58.052105,2.7961032,1522.0,52.16722,5.0,558
1635764302,64.95,175.0,21.2,15.37594,58.052105,2.7961032,1522.0,52.16722,5.0,558
1635850194,64.55,175.0,21.0,15.10252,58.23967,2.7877474,1516.0,52.01358,5.0,563
1635905243,64.95,175.0,21.2,null,null,null,null,null,null,null
1635940070,64.35,175.0,21.0,14.769035,58.46844,2.7900581,1513.0,52.056065,5.0,547
1635979425,86.2,183.0,25.7,null,null,null,null,null,null,null
1636029542,64.85,175.0,21.1,14.990708,58.316376,2.8046243,1520.0,52.3239,5.0,529
1636112046,65.35,175.0,21.3,15.427505,58.01673,2.811825,1528.0,52.4563,6.0,532
1636368174,65.35,175.0,21.3,15.53156,57.94535,2.8083174,1528.0,52.391808,6.0,542
1636391736,65.8,175.0,21.4,null,null,null,null,null,null,null
1636454181,65.5,175.0,21.3,15.817824,57.748974,2.8051815,1530.0,52.334145,6.0,558
1636540821,65.65,175.0,21.4,15.874906,57.709816,2.8097618,1532.0,52.418365,6.0,552
1636627707,65.65,175.0,21.4,15.968127,57.645863,2.806605,1532.0,52.36032,6.0,561
1636716693,65.65,175.0,21.4,15.926696,57.674286,2.808008,1532.0,52.386116,6.0,557
1637060272,65.85,175.0,21.5,16.064198,57.57996,2.8120105,1535.0,52.459713,6.0,555
1637145429,65.6,175.0,21.4,15.897369,57.694405,2.806832,1531.0,52.364494,6.0,558
1637196510,66.7,175.0,21.7,null,null,null,null,null,null,null
1637232225,65.85,175.0,21.5,16.157137,57.516205,2.8088539,1535.0,52.401672,6.0,564
1637285529,66.3,175.0,21.6,null,null,null,null,null,null,null
1637318067,65.85,175.0,21.5,16.17779,57.502037,2.8081524,1535.0,52.38877,6.0,566
1637367386,66.0,175.0,21.5,null,null,null,null,null,null,null
1637407372,65.85,175.0,21.5,16.11583,57.54454,2.810257,1535.0,52.427467,6.0,560
1637446962,84.55,183.0,25.2,null,null,null,null,null,null,null
1637446978,84.65,183.0,25.2,25.076744,51.397354,3.2324295,1675.0,60.190105,12.0,503
1637447038,84.65,183.0,25.2,25.076744,51.397354,3.2324295,1675.0,60.190105,12.0,503
1637447064,84.65,183.0,25.2,null,null,null,null,null,null,null
1637494766,65.95,175.0,21.5,16.338852,57.39155,2.806997,1536.0,52.367527,6.0,574
1637577456,64.85,175.0,21.1,15.368195,58.05742,2.7919977,1520.0,52.09173,5.0,565
