com.samsung.health.food_intake,6233003,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2018-12-11 11:00:00.000,1.0,,2018-12-11 11:03:09.664,2018-12-11 11:03:09.664,100001,,-1,1093.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,5cf97dbd-88a1-46c8-ba66-78199ed479e0,meal_auto_filled,
2018-10-13 12:00:00.000,,,2018-10-13 12:02:09.514,2018-10-13 12:02:09.514,100001,,,1093.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,2ed5c696-2e67-4bfe-b202-759ee6ead759,meal_auto_filled,
2018-11-20 11:00:00.000,1.0,,2018-11-20 11:00:38.304,2018-11-20 11:00:38.304,100001,,-1,1093.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,5cf12a6f-a810-4f39-a021-2cad0d86498c,meal_auto_filled,
2018-09-09 15:00:00.000,69.7,,2018-09-09 20:39:11.081,2018-09-09 20:39:11.081,100002,Costela de Porco,120002,199.342,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,00106e0d-a9ce-4fed-acd0-edef9c5cd4fd,5165e8c9-fb81-4e36-b968-4923c3676e07,
2018-12-28 21:00:00.000,1.0,,2018-12-28 21:00:46.212,2018-12-28 21:00:46.212,100003,,-1,1092.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,56d3000a-5189-43d8-b55d-0ff3db9b4273,meal_auto_filled,
2018-11-08 21:00:00.000,1.0,,2018-11-08 21:00:28.124,2018-11-08 21:00:28.124,100003,,-1,1092.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,cbfcc764-4eb7-4654-b819-dab61306e98a,meal_auto_filled,
2018-11-16 16:00:00.000,1.0,,2018-11-16 16:01:05.282,2018-11-16 16:01:05.282,100002,,-1,1092.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,5fab13bf-bea4-4c68-bdd0-90ed96f72507,meal_auto_filled,
2018-09-20 11:00:00.000,40.0,,2018-09-20 21:34:37.048,2018-09-20 21:34:37.048,100001,Castanhas de Caju,120002,232.4,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,8e13c22d-d5bf-415a-81f8-c764e37b1504,6eb8d029-4142-42e6-a3f1-86a52e08644c,
2018-12-19 21:00:00.000,1.0,,2018-12-19 21:00:31.737,2018-12-19 21:00:31.737,100003,,-1,1092.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,bd013771-99fa-4c6d-8a8e-3d2cc3ecc076,meal_auto_filled,
2018-09-21 16:00:00.000,90.0,,2018-09-22 12:47:19.934,2018-09-22 12:47:19.934,100002,Polenta Frita,120002,135.88235,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,c8d2d65f-e7ea-4301-a251-fcaf44277917,bbd8319f-419f-40f0-9081-da6df37d1114,
