com.samsung.shealth.tracker.pedometer_event,6233003,1
start_time,update_time,create_time,type,time_offset,deviceuuid,pkg_name,healthy_step,end_time,datauuid
2022-01-04 00:45:01.000,2022-01-04 00:56:38.000,2022-01-04 00:56:38.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,888,2022-01-04 00:56:38.000,b52992cd-c789-5f1d-e71f-97f978156c56,
2021-01-02 13:02:12.000,2021-01-02 13:16:52.000,2021-01-02 13:16:52.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1222,2021-01-02 13:16:52.000,d676fb87-8925-fd4a-0595-7785cd7065a9,
2020-01-02 22:17:39.686,2020-01-02 22:20:28.297,2020-01-02 22:18:14.334,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,233,2020-01-02 22:20:27.879,d709a0a5-7497-426a-ab3c-be7a97c08166,
2021-11-19 21:06:29.000,2021-11-19 21:19:24.000,2021-11-19 21:19:24.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1114,2021-11-19 21:19:24.000,a5a3fcd1-62ed-67c9-30c8-214ac8d85353,
2022-08-01 16:18:44.000,2022-08-01 16:32:37.000,2022-08-01 16:32:37.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1346,2022-08-01 16:32:37.000,16d8ab2e-1160-9ccb-8357-c72ca4bbe1f5,
2022-09-24 14:49:39.000,2022-09-24 15:03:23.000,2022-09-24 15:03:23.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1091,2022-09-24 15:03:23.000,1b6ab5ee-b9c8-64cb-2e3f-5683c89c24aa,
2020-02-28 18:23:10.687,2020-02-28 18:24:40.806,2020-02-28 18:23:22.744,1,UTC+0000,yfgkJHa6g4,com.sec.android.app.shealth,113,2020-02-28 18:24:30.755,db5ffb9e-736a-4c20-a9e3-d6a311edbd32,
2020-02-02 23:34:01.613,2020-02-02 23:55:06.432,2020-02-02 23:44:02.129,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,2112,2020-02-02 23:55:00.902,51b16569-00a9-4b35-90a2-adf3ea9a3e6a,
2022-08-06 03:08:37.000,2022-08-06 03:35:37.000,2022-08-06 03:35:37.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,2527,2022-08-06 03:35:37.000,a13884c5-4e06-6e8d-a134-0e6767e867e2,
2020-02-27 12:51:44.687,2020-02-27 13:03:14.723,2020-02-27 12:51:57.821,1,UTC+0000,yfgkJHa6g4,com.sec.android.app.shealth,1360,2020-02-27 13:03:13.840,ac7aab0c-66e7-4657-8bca-7e57ba8db610,
2021-01-11 20:19:35.847,2021-01-11 20:40:22.515,2021-01-11 20:29:38.386,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,2133,2021-01-11 20:40:19.603,424f49ca-c343-4c98-af7a-4c2bd1abd4cd,
2022-07-06 19:53:18.000,2022-07-06 20:04:50.000,2022-07-06 20:04:50.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1039,2022-07-06 20:04:50.000,54b47678-dfb0-92b7-e840-38017b051178,
2020-01-07 17:30:44.593,2020-01-07 17:46:43.684,2020-01-07 17:40:45.673,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,1652,2020-01-07 17:46:43.270,97521b58-fdb0-4c33-a83f-31680ffc3e2a,
2022-08-02 16:23:21.000,2022-08-02 16:45:52.000,2022-08-02 16:45:52.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1967,2022-08-02 16:45:52.000,062d23a3-7937-0859-84dd-25a6c202ee23,
2020-01-26 20:16:38.780,2020-01-26 20:16:51.542,2020-01-26 20:16:51.542,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,7,2020-01-26 20:16:48.802,8e27cfd4-af61-48ac-a5df-b047e3680131,
2019-12-30 20:35:02.503,2019-12-30 20:35:25.413,2019-12-30 20:35:15.331,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,41,2019-12-30 20:35:22.577,29560faa-ea3f-4dbd-bc52-2682c6cd07dc,
2022-06-01 22:59:55.000,2022-06-01 23:14:02.000,2022-06-01 23:14:02.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1170,2022-06-01 23:14:02.000,62318194-92ea-53d7-787e-e47520ffcc75,
2022-05-11 22:09:34.000,2022-05-11 22:24:21.000,2022-05-11 22:24:21.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1212,2022-05-11 22:24:21.000,bb814353-17ba-1b9e-95b4-1ef8fd63656b,
2022-06-25 20:15:47.000,2022-06-25 20:57:41.000,2022-06-25 20:57:41.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,3932,2022-06-25 20:57:41.000,ab5d1b99-6277-f0c6-6d12-c514009cf67d,
